SJA1890-91;SJA2014;HAW1890-56;HAW2014;ORN1890-91;ORN2014;SLA1889-91;SLA2014;NOS1890-91;NOS2014;SWI1889-91;SWI2014;KAM1889-91;KAM2014;KMA1889-1956;KMA2014;KRZ1889-1956;KRZ2014;RYS1889-1956;RYS2014;MSC1889-1956;MSC2014;CMN1891-1956;CMN2014;GWR1889;GWR2014;GWS1889-1956;GWS2014
Summit;2210;2210;2152;2152;1867;1867;2452;2452;1206;1206;2061;2061;2126;2126;1704;1704;2122;2122;2503;2503;2410;2410;2096;2096;1823;1823;1894;1894
Abies alba;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer pseudoplatanus;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achillea millefolium;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;1894;0
Achillea millefolium subsp. sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2116;0;0;0;0;2096;0;0;0;0;0
Aconitum napellus subsp. firmum;0;0;0;0;0;0;2452;2315;0;0;2061;2061;0;0;0;0;2122;2122;2503;1765;2410;2233;2096;2096;1823;1823;1894;1894
Adenostyles alliariae;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2122;2122;2503;1990;2410;2410;2096;2096;0;1823;0;0
Agrostis alpina;0;0;0;0;0;0;0;2200;0;0;0;0;0;2126;0;0;0;0;0;0;0;0;2096;2096;0;0;0;0
Agrostis capillaris;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis rupestris;0;0;0;0;0;1867;2452;2288;0;0;0;2061;0;0;1704;1704;2122;2122;2503;2500;2405;2410;2096;0;0;1823;0;1825
Allium senescens;0;0;2152;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium sibiricum;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alnus incana;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Androsace chamaejasme;2210;0;0;2152;0;0;0;2360;0;0;0;2061;0;0;0;1704;2122;0;0;0;0;0;2096;2096;1823;1823;1894;1825
Androsace lactea;0;0;0;2152;0;0;0;0;1206;0;0;2061;0;0;1704;1704;2122;0;0;0;0;0;0;0;0;1823;1894;0
Androsace obtusifolia;2210;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;2503;0;2410;2410;2096;0;0;0;0;0
Anemone narcissifolia;2210;2210;0;0;0;0;0;2164;0;0;0;2061;0;0;0;1704;2122;2122;2503;2053;2410;2410;2096;2096;0;1823;0;0
Angelica archangelica subsp. archangelica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;1823;0;1825
Angelica sylvestris;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria carpatica;0;0;0;2152;0;0;0;0;0;0;2061;2061;0;0;0;0;2122;0;0;2500;2410;1989;2096;2096;0;0;0;0
Antennaria dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;1704;0;0;0;0;0;0;2096;0;1823;1823;0;1825
Anthoxanthum alpinum;0;0;0;0;0;1867;0;2360;0;0;0;2061;0;0;1704;1704;0;2122;2503;2053;0;1989;2096;2096;0;1823;0;1825
Anthoxanthum odoratum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthyllis vulnenaria;0;0;2152;0;0;0;0;0;1206;0;0;2061;0;0;0;0;2122;0;0;0;0;0;2096;0;1823;1823;1894;1825
Arabis alpina;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2122;2503;2155;2260;2278;2096;2096;1823;0;1894;1894
Arabis hirsuta;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;1680;0;0;0;0;0;0;0;0;0;0;0;0;0
Arabis soyeri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;1894;0
Arenaria ciliata;2210;0;0;2152;0;0;0;0;1206;0;0;2061;0;0;1704;1704;2122;0;0;0;0;0;0;0;1823;1823;1894;1894
Artemisia eriantha;0;0;2152;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;2250;0;1930;0;0;0;0;0
Aruncus dioicus;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0;0
Asplenium ruta-muraria;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium trichomanes-ramosum;0;0;2152;2152;0;0;0;0;0;1206;0;0;0;0;1704;0;2122;2087;0;0;2140;0;2096;2096;0;1823;0;1894
Aster alpinus;0;0;0;2152;1867;0;0;0;1206;1206;1946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Aster bellidiastrum;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1825
Astragalus australis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;1894;1825
Astragalus frigidus;0;0;2152;0;0;0;0;0;0;0;1978;2061;0;0;0;0;0;0;0;0;0;0;0;0;1823;1823;1858;0
Astrantia major;0;0;2152;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Athyrium distentifolium;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;2503;1895;1992;1989;0;0;0;1823;0;1825
Athyrium filix-femina;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenula versicolor;0;0;0;0;0;1867;0;2238;0;0;0;0;0;2126;0;1704;2122;2116;2503;0;2410;2188;2096;0;0;1823;1894;1825
Bartsia alpina;0;0;0;2152;0;0;2452;0;0;0;2061;2061;0;2126;1704;1704;2122;2122;2503;0;2410;2410;2096;2096;0;1823;1894;1894
Bellis perennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1603;0;0;0;0;0;0;0;0;0;0;0;0;0
Biscutella laevigata;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;1704;0;2122;2116;0;0;0;0;2096;2096;0;1823;1894;1825
Botrychium lunaria;0;0;2150;2152;0;0;0;0;0;0;0;0;0;0;1704;1704;2122;2122;0;0;0;0;2055;2096;0;1823;1900;1894
Briza media;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bupleurum longifolium;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1894
Bupleurum ranunculoides;0;0;2152;2152;1867;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;1825
Bupleurum tenuissimum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis arundinacea;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis canescens;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis varia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;1765;0;0;2096;0;0;0;0;0
Calamagrostis villosa;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Callianthemum coriandrifolium;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calluna vulgaris;0;0;0;0;0;1867;0;2145;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;0
Caltha palustris;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula alpina;2210;2210;2152;0;1867;1867;2452;2452;0;0;0;2061;2126;0;1704;0;2122;2116;2200;2500;2410;2410;2096;2096;0;1823;1894;1825
Campanula cochlearifolia;0;0;0;2152;0;1867;0;2423;0;1206;0;2061;0;0;0;0;0;0;0;0;0;0;1900;0;1823;1823;0;1894
Campanula rotundifolia subsp. polymorpha;0;0;0;0;0;0;0;2146;0;0;0;0;0;0;0;1704;2122;2122;0;1765;0;2410;0;0;0;1823;0;0
Campanula rotundifolia subsp. rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2405;0;2096;0;1823;0;0;0
Campanula scheuchzeri;0;2210;0;0;0;0;2452;0;0;0;2061;0;0;0;0;0;2122;0;2503;0;0;0;2096;2096;1823;0;1894;1894
Cardamine impatiens;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine trifolia;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardaminopsis arenosa                ;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;0;0;1894;1894
Cardaminopsis halleri;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;0;0;0;0;2096;2096;0;1823;0;1825
Cardaminopsis neglecta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;2503;2500;2410;2410;0;0;0;0;0;0
Carduus defloratus subsp. glaucus;0;0;0;0;0;0;0;0;1206;1206;2061;2061;0;0;0;0;0;0;0;0;0;0;2060;2096;1823;1823;1894;1894
Carex atrata;0;0;2152;2152;0;0;0;2240;0;0;0;2061;0;0;0;0;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1894
Carex bigelowii;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Carex capillaris;0;0;0;0;0;0;0;0;1206;1206;0;2061;0;0;1704;1704;2122;0;0;0;0;0;2096;0;0;0;0;0
Carex curta;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Carex davalliana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex firma;0;0;2152;2152;0;1867;0;0;0;1206;0;2061;0;0;0;1704;2122;2122;2179;0;0;0;2096;2096;1823;1823;1894;1894
Carex fuliginosa;0;0;0;2152;0;0;2452;2041;0;0;0;0;0;0;0;0;2122;2122;2179;0;2410;0;0;0;0;0;0;0
Carex nigra;0;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;0;2122;2122;0;0;0;0;2096;0;0;0;0;0
Carex pilulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Carex sempervirens;0;0;0;2152;1867;1867;2452;2240;0;1206;0;2061;0;2126;1704;1704;2122;0;0;0;2410;0;0;0;1823;1823;0;1894
Carex sylvatica;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlina acaulis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;1894;1825
Centaurea mollis;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea scabiosa;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium alpinum;0;0;0;2152;0;1867;2452;0;1206;0;2061;2061;2126;0;0;0;2122;0;2503;2190;2405;2410;2096;0;0;0;1894;1894
Cerastium arvense                              ;0;0;0;0;0;0;2452;0;0;0;0;0;0;0;1704;1704;2122;0;2470;0;0;0;0;2096;1823;0;0;1894
Cerastium arvense subsp. glandulosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;2122;0;2500;2405;2410;2096;0;0;1823;0;0
Cerastium cerastoides;0;0;0;0;1867;1867;0;0;0;0;0;0;0;0;0;0;2122;2122;2345;0;2410;0;2096;0;0;0;1894;0
Cerastium fontanum;0;0;2152;0;0;1867;0;0;0;0;1978;0;0;0;0;0;2122;2116;0;0;0;0;2096;0;0;1823;0;1894
Cerastium latifolium;0;0;0;0;0;0;2452;0;0;0;0;0;0;0;0;0;2122;0;2503;0;0;0;2096;0;0;1823;1894;0
Cerastium uniflorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2503;2500;2405;2410;0;0;0;0;0;0
Chaerophyllum hirsutum;0;0;2152;0;0;1867;0;0;0;1206;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;1823;1894;0
Chamorchis alpina;0;0;2152;2152;0;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chrysosplenium alternifolium;0;0;0;0;1867;1867;0;0;0;0;0;0;0;0;1704;0;2122;2122;0;0;0;0;2000;2096;0;0;1670;0
Cicerbita alpina;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;1725;0;0;0;0;0;0;0;0
Circaea alpina;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium erisithales;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;2060;0;1823;1823;0;0
Cirsium helenioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Clematis alpina;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;1720;0
Cochlearia tatrae;0;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;2405;2410;0;0;0;0;0;0
Coeloglossum viride;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;1704;0;2122;0;0;0;0;2096;2096;1823;1823;0;0
Corallorhiza trifida;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cortusa matthioli;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cotoneaster integerrimus;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis jacquinii;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;1823;1823;1894;1825
Crepis mollis;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;0;0;2096;0;1823;0;0;0
Crepis paludosa;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cruciata glabra;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cystopteris alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2100;2122;0;0;0;0;2085;0;0;0;0;0
Cystopteris fragilis;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;1704;0;2122;2122;0;1895;0;0;2096;2096;0;1823;0;1825
Cystopteris sudetica;2210;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Dactylis glomerata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daphne mezereum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delphinium elatum;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;1823;1894;0
Delphinium oxysepalum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;2122;2122;0;0;0;0;2096;0;0;0;0;0
Deschampsia cespitosa                     ;0;0;0;0;0;1867;0;0;0;1206;0;0;1886;0;0;0;2122;0;0;0;0;0;2096;0;0;1823;0;1894
Deschampsia flexuosa;0;0;0;0;0;1867;0;2370;0;1206;0;0;0;0;0;1704;2122;0;2503;1725;2405;1989;2096;0;0;1823;0;0
Dianthus glacialis;2210;2210;0;0;1867;0;0;0;0;0;1998;2061;0;2126;0;0;2122;0;2490;0;2410;0;2096;0;0;0;0;0
Dianthus plumarius;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;1704;2122;0;0;0;0;0;0;0;1800;0;1894;0
Dianthus superbus subsp. alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;1823;0;0
Digitalis grandiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Diphasiastrum alpinum;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doronicum austriacum;0;0;0;0;0;0;0;0;0;0;1978;0;0;0;0;0;0;0;0;1725;0;0;0;0;0;0;0;0
Doronicum clusii;2210;2210;0;0;1867;0;2452;2452;0;0;1998;0;2126;0;0;0;2122;2116;2503;2500;2410;2410;2096;0;0;0;0;0
Draba aizoides;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1894
Draba dubia;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba tomentosa;0;0;2152;0;0;0;0;0;0;0;2061;2061;0;0;0;0;2122;2122;0;0;0;0;2060;0;0;1823;1894;0
Dryas octopetala;0;0;2152;2152;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2112;0;0;2140;0;2096;2096;1823;1823;1894;1894
Dryopteris carthusiana;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;2098;0;0;0;0;0;0;0;0;0;0;0
Dryopteris dilatata;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;1825
Empetrum nigrum;2210;2210;0;0;1867;0;0;0;0;0;0;0;0;0;1704;1704;2122;0;0;0;0;0;0;0;0;0;1894;0
Empetrum nigrum subsp. hermaphroditum;0;0;0;0;0;1867;0;2230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium alpestre;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;1704;2122;0;0;0;0;0;2096;0;1700;1823;0;0
Epilobium alsinifolium;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;0;0;2060;2096;0;1823;1894;1825
Epilobium anagallidifolium;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;1704;0;2122;0;2503;0;0;0;0;0;0;0;0;0
Epilobium angustifolium;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2116;0;1623;0;0;0;0;0;1823;0;0
Epilobium tetragonum subsp. tetragonum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Epipactis atrorubens;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Equisetum variegatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2410;0;0;0;0;0;0;0
Erigeron alpinus;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Erigeron nanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;2122;0;0;0;0;0;2096;0;0;0;0;0
