Species;Acronym;Lifeform;Sja.S91;Sja.C14;Haw.S91;Haw.B90;Haw.P56;Haw.C14;Orn.S91;Orn.C14;Sla.K90;Sla.S91;Sla.C14;Nos.S91;Nos.B90;Nos.C14;Swi.S91;Swi.K90;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.K90;Kma.B55;Kma.B90;Kma.C14;Krz.S91;Krz.K90;Krz.P56;Krz.P28;Krz.C14;Rys.S91;Rys.K90;Rys.P56;Rys.C14;Msc.K90;Msc.P56;Msc.P28;Msc.C14;Cmi.S91;Cmi.K90;Cmi.P56;Cmi.P49;Cmi.P56;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.S91;Gws.B55;Gws.B90;Gws.P56;Gws.C14
Abies alba;Abi.alb;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acer pseudoplatanus;Ace.pse;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Achillea millefolium;Ach.mil;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;1894;NA;NA;NA;NA;NA
Achillea millefolium subsp. sudetica;Ach.sud;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aconitum napellus subsp. firmum;Aco.fir;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;2452;2315;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;2122;NA;2503;2400;1765;2410;NA;NA;2233;NA;NA;NA;NA;NA;NA;1823;1823;NA;1894;NA;NA;NA;1894
Adenostyles alliariae;Ade.all;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;2122;NA;2503;NA;1990;2410;NA;NA;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;NA
Agrostis alpina;Agr.alp;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2200;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;2096;2096;NA;NA;NA;NA;NA;NA;NA;NA
Agrostis capillaris;Agr.cap;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agrostis rupestris;Agr.rup;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;2452;2288;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;2503;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;1894;NA;NA;1825
Allium senescens;All.sen;G;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Allium sibiricum;All.sib;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Alnus incana;Aln.inc;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Androsace chamaejasme;And.cha;C;2210;NA;NA;NA;NA;2152;NA;NA;NA;NA;2360;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;1704;NA;1704;2122;2093;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;1894;NA;NA;1825
Androsace lactea;And.lac;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;1206;1206;NA;NA;NA;2061;NA;NA;NA;1704;1704;NA;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;1894;NA;NA;1825
Androsace obtusifolia;And.obt;C;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;1704;NA;NA;NA;2122;NA;2122;2122;NA;2503;NA;NA;2410;NA;NA;2410;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemone narcissifolia;Ane.nar;G;2210;2210;NA;NA;NA;NA;NA;NA;NA;NA;2164;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;2122;NA;2122;2122;NA;2503;2480;2053;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;NA
Angelica archangelica subsp. archangelica;Ang.arc;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;1825
Angelica sylvestris;Ang.syl;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antennaria carpatica;Ant.car;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;2061;2061;2061;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;NA;NA;2500;2410;NA;2410;1989;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;NA;NA;NA;NA
Antennaria dioica;Ant.dio;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;1823;NA;NA;NA;NA;NA;1825
Anthoxanthum alpinum;Anx.alp;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2360;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;2122;2122;NA;2503;NA;2053;NA;NA;NA;1989;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;1825
Anthoxanthum odoratum;Anx.odo;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anthyllis vulnenaria;Anh.vul;H;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;2034;2034;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;1823;1894;NA;NA;NA;NA;1825
Arabis alpina;Ara.alp;C;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2113;NA;2122;2122;NA;2503;NA;2155;2250;2260;NA;2278;NA;NA;NA;NA;2096;2096;1823;NA;1894;1894;NA;NA;NA;1894
Arabis hirsuta;Ara.hir;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arabis soyeri;Ara.soy;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1960;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Arenaria ciliata;Are.cil;T;2210;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;2061;NA;NA;NA;1704;1704;NA;1704;2122;1987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1894;1894;1894;NA;NA;1894
Artemisia eriantha;Art.eri;Ch;NA;NA;2152;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2250;NA;NA;NA;NA;NA;NA;1930;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aruncus dioicus;Aru.dio;H;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Asplenium ruta-muraria;Asp.rut;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Asplenium trichomanes-ramosum;Asp.vir;H;NA;NA;NA;NA;2152;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;2034;NA;2122;2087;NA;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;1894
Aster alpinus;Ast.alp;H;NA;NA;NA;NA;NA;2152;1867;NA;NA;NA;NA;1206;NA;1206;NA;1946;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1885;1894;1894;NA;NA;NA
Aster bellidiastrum;Ast.bel;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;1894;1894;NA;NA;1825
Astragalus australis;Asg.aus;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;NA;NA;NA;1825
Astragalus frigidus;Asg.fri;G;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1978;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1858;NA;NA;NA;1858;NA
Astrantia major;Asn.maj;H;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Athyrium distentifolium;Ath.dis;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;NA;1895;1992;NA;NA;1989;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;1825
Athyrium filix-femina;Ath.fil;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Avenula versicolor;Ave.ver;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2238;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;1704;NA;2122;NA;2122;2116;NA;2503;NA;NA;2410;NA;NA;2188;NA;NA;NA;NA;2096;NA;NA;1823;NA;1894;NA;NA;NA;1825
Bartsia alpina;Bar.alp;G;NA;NA;NA;NA;NA;2152;NA;NA;2452;NA;NA;NA;NA;NA;2061;NA;2061;NA;2126;NA;1704;NA;NA;1704;2122;2122;NA;2122;2122;NA;2503;NA;NA;2410;NA;NA;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;1894;1894;1894;NA;1894
Bellis perennis;Bel.per;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Biscutella laevigata;Bis.lae;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;1704;NA;2122;2122;2122;2122;2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;2102;NA;NA;2096;2096;NA;1823;NA;1894;1894;1894;NA;1825
Botrychium lunaria;Bot.lun;G;NA;NA;NA;NA;2150;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;2122;NA;2120;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2055;NA;NA;2096;NA;1823;1894;NA;NA;NA;NA;1894
Briza media;Bri.med;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bupleurum longifolium;Bup.lon;H;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;1894
Bupleurum ranunculoides;Bup.ran;H;NA;NA;NA;NA;2152;2152;1867;NA;NA;NA;NA;NA;NA;NA;2061;2061;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1894;1894;1894;NA;NA;1825
Bupleurum tenuissimum;Bup.ten;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA
Calamagrostis arundinacea;Cal.aru;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamagrostis canescens;Cal.var;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamagrostis varia;Cal.var;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;1765;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamagrostis villosa;Cal.vil;G;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Callianthemum coriandrifolium;Cah.cor;H;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calluna vulgaris;Cll.vul;Ch;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Caltha palustris;Cth.pal;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Campanula alpina;Cam.alp;H;2210;2210;2152;NA;NA;NA;1867;1867;2452;NA;2452;NA;NA;NA;NA;NA;2061;2126;NA;NA;NA;1704;1704;NA;2122;1988;NA;2122;2116;NA;2200;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;1894;NA;NA;NA;1825
Campanula cochlearifolia;Cam.coc;H;NA;NA;NA;NA;NA;2152;NA;1867;NA;NA;2423;NA;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1900;NA;NA;NA;NA;1823;1823;NA;NA;NA;NA;NA;1894
Campanula rotundifolia subsp. polymorpha;Cam.pol;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2146;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;2122;NA;NA;NA;1765;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Campanula rotundifolia subsp. rotundifolia;Cam.rot;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;NA;NA;NA;NA;NA
Campanula scheuchzeri;Cam.sch;H;NA;2210;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;2503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;NA;1894;1894;NA;NA;NA;1894
Cardamine impatiens;Car.imp;T;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cardamine trifolia;Car.tri;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cardaminopsis arenosa                ;Crd.bor;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;1704;1704;NA;NA;1704;2122;2112;2112;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;NA;NA;1894;NA;NA;NA;1894
Cardaminopsis halleri;Crd.hal;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;2122;2122;2122;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;1825
Cardaminopsis neglecta;Crd.neg;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carduus defloratus subsp. glaucus;Cdu.gla;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019;2060;NA;NA;2096;1823;1823;1894;NA;NA;NA;NA;1894
Carex atrata;Crx.atr;H;NA;NA;NA;2152;NA;2152;NA;NA;NA;NA;2240;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;2122;2071;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;NA;NA;1894;NA;1894
