Species;Acronym;Lifeform;Sja.S91;Sja.C14;Haw.S91;Haw.B90;Haw.P56;Haw.C14;Orn.S91;Orn.C14;Sla.K90;Sla.S91;Sla.C14;Nos.S91;Nos.B90;Nos.C14;Swi.S91;Swi.K90;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.K90;Kma.B55;Kma.B90;Kma.C14;Krz.S91;Krz.K90;Krz.P56;Krz.P28;Krz.C14;Rys.S91;Rys.K90;Rys.P56;Rys.C14;Msc.K90;Msc.P56;Msc.P28;Msc.C14;Cmi.S91;Cmi.K90;Cmi.P56;Cmi.P49;Cmi.P56;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.S91;Gws.B55;Gws.B90;Gws.P56;Gws.C14
Saxifraga retusa;Sax.ret;C;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saxifraga rosacea;Sax.ros;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA
Saxifraga wahlenbergii;Sax.wah;C;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;1704;1704;NA;1704;NA;2122;2122;NA;2122;2122;NA;2273;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;NA;NA;NA;NA;NA;NA;NA
Scabiosa lucida;Sca.luc;H;NA;NA;NA;NA;NA;2152;1867;NA;NA;NA;NA;1206;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;1823;1894;NA;NA;NA;NA;1894
Scrophularia scopolii;Scr.sco;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;NA;NA
Sedum alpestre;Sed.alp;C;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;2452;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;2345;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;NA;NA;1894;NA;NA;NA;1894
Sedum atratum;Sed.atr;T;NA;NA;NA;NA;2152;2152;1867;1867;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;1704;1704;1704;NA;NA;2122;2118;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;2096;2096;1823;NA;1894;1894;1894;NA;NA;1894
Sedum telephium subsp. fabaria;Sed.fab;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA;NA;1894;NA;NA;NA;NA
Selaginella selaginoides;Sel.sel;C;NA;NA;NA;2152;2152;NA;NA;NA;NA;NA;NA;1206;1206;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;2096;2096;NA;1823;NA;1894;NA;NA;NA;1894
Sempervivum montanum;Sem.mon;C;2210;2210;NA;NA;NA;2152;1867;NA;NA;NA;2397;NA;NA;1206;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;2122;2113;NA;2122;NA;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senecio abrotanifolius subsp. carpathicus;Sen.car;H;2210;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senecio incanus subsp. carniolicus;Sen.crn;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2420;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;NA;2503;2503;NA;2500;NA;NA;2410;2410;NA;2092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senecio integrifolius subsp. capitatus;Sen.cap;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;2452;2420;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;2122;2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;1823;1894;1894;1894;NA;NA;1825
Senecio nemorensis;Sen.nem;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1740;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Senecio rivularis;Sen.riv;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senecio subalpinus;Sen.sub;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;NA;NA;NA;NA
Seseli libanotis;Ssl.lib;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sesleria bielzii;Ses.bie;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;NA;NA;NA;NA
Sesleria sadlerana subsp. tatrae;Ses.sad;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;1894
Sesleria varia;Ses.var;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;2122;2122;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Sibbaldia procumbens;Sib.pro;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2089;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Silene acaulis;Sil.aca;C;2210;2210;NA;NA;2150;2152;NA;NA;2452;NA;2440;NA;NA;NA;NA;NA;2061;2126;NA;NA;1704;1704;NA;1704;NA;2122;NA;2122;2122;2503;2300;NA;2500;2410;2410;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;1894;NA;NA;1894
Silene dioica;Sil.dio;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2079;2079;2122;NA;NA;2503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Silene nutans;Sil.nut;H;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Silene pusilla;Sil.pus;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;1894;NA;NA;NA
Silene vulgaris;Sil.vul;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Soldanella carpatica;Sol.car;H;2210;2210;NA;NA;NA;2152;1867;1867;2452;NA;NA;NA;NA;1206;2061;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2116;NA;NA;NA;2053;NA;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;1894;NA;1894;NA;NA;1894
Solidago virgaurea;Sld.vir;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Solidago virgaurea subsp. minuta;Sld.alp;H;NA;2210;NA;NA;NA;NA;1867;1867;2452;NA;2143;1206;NA;1206;2061;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2022;NA;2122;NA;NA;2503;NA;1765;2410;NA;NA;2188;NA;NA;NA;NA;2096;NA;1823;1823;NA;NA;1894;NA;NA;1825
Sorbus aria;Sor.ari;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;1206;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sorbus aucuparia subsp. glabrata;Sor.gla;M;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Stellaria nemorum;Ste.nem;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2110;NA;2116;NA;2503;NA;1740;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA
Swertia perennis;Swe.per;H;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;2122;2122;NA;2122;2122;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;NA;NA;NA;NA;1894
Taraxacum officinale;Tar.off;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894
Taraxacum Sect. Alpina;Tar.alp;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;NA
Taraxacum Sect. Erythrosperma;Tar.ery;H;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;2503;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thalictrum aquilegiifolium;Tha.aqu;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thalictrum minus;Tha.min;H;NA;NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1950;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thesium alpinum;The.alp;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;1206;NA;1206;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1858;1894;NA;NA;NA;1825
Thymus alpestris;Thy.alp;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;1894;NA;NA;NA
Thymus pulcherrimus;Thy.pul;C;NA;NA;NA;NA;NA;2152;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;1894
Thymus pulegioides;Thy.plg;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;1894;NA;NA;NA;NA;1894
Tofieldia calyculata;Tof.cal;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;1894;NA;NA;1894
Traunsteinera globosa;Tra.glo;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;1825
Trifolium badium;Tri.bad;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1978;NA;NA;NA;NA;NA;NA;NA;1704;2122;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1825
Trifolium pratense ;Tri.pra;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2060;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Trifolium repens;Tri.rep;C;NA;NA;NA;NA;2000;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1978;2061;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trisetum alpestre;Tri.alp;H;NA;NA;NA;2152;NA;2152;NA;NA;NA;NA;NA;1206;1206;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trisetum fuscum;Tri.fus;H;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Trollius europaeus;Tro.eur;H;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA
Trollius europaeus subsp. transsilvanicus;Tro.alt;H;NA;NA;NA;NA;2135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tussilago farfara;Tus.far;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;1825
Urtica dioica;Urt.dio;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;1823;NA;NA;NA;NA;NA;1825
Vaccinium myrtillus;Vac.myr;Ch;NA;2210;NA;NA;NA;NA;NA;1867;NA;NA;2333;NA;NA;1206;NA;NA;NA;NA;2126;NA;1704;NA;NA;1704;NA;2122;NA;2122;2116;NA;NA;NA;2500;NA;NA;NA;2188;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;NA;NA;NA;1825
Vaccinium uliginosum;Vac.uli;Ch;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;1704;1704;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;1894;NA;NA;NA;NA
Vaccinium vitis-idaea;Vac.vit;Ch;NA;NA;NA;NA;NA;2152;NA;1867;NA;NA;2240;NA;NA;1206;NA;NA;2061;NA;2126;NA;1704;NA;NA;1704;NA;2122;NA;2122;2116;NA;NA;NA;2500;NA;NA;NA;2188;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;NA;NA;NA;1825
Vaccinum uliginosum subsp. microphyllum;Vac.gau;Ch;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;2223;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2053;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Valeriana officinalis subsp. sambucifolia;Val.sam;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Valeriana tripteris;Val.tri;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;1206;NA;1978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;NA;1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;NA;NA;NA;NA;NA
Veratrum lobelianum;Ver.alb;H;NA;NA;NA;NA;NA;NA;1867;1867;2452;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;NA;1840;2410;NA;NA;1920;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Veronica alpina;Vrc.alp;G;2210;NA;NA;NA;NA;NA;1867;NA;2452;NA;2366;NA;NA;NA;NA;NA;NA;2126;NA;1704;1704;NA;NA;NA;NA;NA;NA;NA;2122;NA;2345;NA;2190;2410;NA;2410;2410;NA;NA;NA;NA;2096;NA;1823;NA;NA;1894;1894;1894;NA;NA
Veronica aphylla;Vrc.aph;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;NA;1704;NA;NA;1704;2122;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;1894;NA;NA;1894
Veronica chamaedrys;Vrc.cha;C;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Veronica fruticans;Vrc.fru;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1980;2085;NA;NA;NA;1800;NA;NA;NA;1894;NA;NA;NA
Veronica serpyllifolia;Vrc.ser;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Viola alpina;Vio.alp;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;2122;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;2096;2096;NA;1823;NA;1894;NA;1894;NA;NA
Viola biflora;Vio.bif;H;2210;NA;NA;NA;NA;NA;1867;NA;2452;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;1704;NA;1704;NA;2122;NA;2122;2122;NA;2503;NA;1765;NA;2390;2410;1989;NA;NA;NA;NA;2096;2096;1823;1823;1894;NA;1894;NA;NA;1825
Viola lutea;Vio.lut;H;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Viola palustris;Vio.pal;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Viola tricolor subsp. subalpina;Vio.tri;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
